Priority,Status Indicator,Create Date,Created By,Requestor,Status Notes,Maintenance Date,Time of Maintenance,Description of Maintenance,User Impact (What's Affected?),Responsible IT Area,Impact Category,Purpose / Desired Result,Purpose Group,Point of Contact,Task Summary,Emergency / Time Senstive
,Completed,04/11/17 8:50 AM,web-form@smartsheet.com,Richard Piotrowski,Ervin to Confirm or Reschedule ; TM to revisit,04/20/17,3:30pm,Update acct used for AD Sync,None,Network Operations (Server / SAN),,"Best practice, account currently in use not is not a service account",Security,Tom McEnery,"1) Update rights on service account
2) Replace current account with service account 
3) Test
...

BACK OUT PLAN: 
1) replace with old account",
,Completed,04/11/17 8:45 AM,web-form@smartsheet.com,Richard Piotrowski,"Tom McEnery will document changes.
RP to confirm (In testing)",04/20/17,4:30pm,Azure SSO /Update GPO to allow for pass-thru authentication for Office 2013,None,Network Operations (Server / SAN),,User will no longer be require to save the outlook client password,Enhancement,Tom McEnery,"1) document GPO change
2) test GPO on IT group
3) rollout
...

BACK OUT PLAN: 
reset GPO",
,Completed,04/14/17 4:59 PM,web-form@smartsheet.com,M&R Department,Application Development - LIMS/IPACS Team,04/14/17,,15-RFP-24 - LIMS Task #6:  Configure background job to generate Grab samples daily in LIMS Production System.,This modification is already in LIMS Production System.,Multi-Team (Indicate groups in Additional Information),,"Grab samples logged in using the ""Login Schedule"" in LIMS Production System for all plants will create the appropriate grab samples without generating error messages",Fix / Patch,Roger Smith / Chentile Jackson,"1) 
2)
3)
...

BACK OUT PLAN: 
....",
,Completed,03/20/17 4:19 PM,web-form@smartsheet.com,Reichling,,04/14/17,<Check with Tom McEnery>,Modification of existing GPO to removal current WSUS server and replace it with the new WSUS service on the SCCM infrastructure.,Computers will receive the updated GPO and the Windows Update settings will be modified to retrieve updates from the new WSUS service implemented with the SCCM project.,Network Operations (Server / SAN),,Only desktops will be retrieving windows updates from the SCCM managed WSUS server.,New Implementation,Tom McEnery,"1) 
2)
3)
...

BACK OUT PLAN: 
....",TRUE
,Completed,03/27/17 2:55 PM,web-form@smartsheet.com,ervin cheng,,04/13/17,Thursday 4/13/2017 at 7 p.m. duration about 6 to 7 hours,3PAR service processor and OS upgrade from 3.2.1(MU3) to 3.2.2 (MU4),"All SAP servers, application servers, GIS servers, File Maker Servers, IPACs & LIMs, SAP ERP servers, ReadSoft, Database servers, Dashboard, Legal servers, and mwrd site.",Network Operations (Server / SAN),,"HPE 3PAR OS 3.2.2 MU4 provides support for drive firmware updates, new drives, resolve multiple issues, and new functionalities.",Enhancement,ervin cheng,"1 -Start of OS upgrade 
2 -SP Update with latest code (non-intrusive) 
3 -Pre-Upgrade Checks (non-intrusive) (non-intrusive) 
4 -Installation of Pre-req Patches 
5 -Running pre-req Scripts 
6 -Controller Node Upgrade (reboot) performed one at a time with host vali dation X (Node reboot time: P7000/8000 = 10 mins, P10000/20000 = 20 min) N - No. of Nodes, Z (5min default pause between nodes reboot. Max pause= 30min). 
Customer to validate host access and approve node reboots 
7 -Installation of Post Upgrade Patches 
8 -Running Post Upgrade scripts 
9 -Drive Cage firmware upgrade 
10 -Health Check and other post checks 
11 -Physical drives firmware upgrade (background task) 
12 -Final Host Verification by Customer 
13 -End of OS Upgrade 

BACK OUT PLAN: 
1 -Rollback when all nodes are NOT upgraded (one or more nodes pending for upgrade OR upgrade is not finalized/committed ) 
2 -Rollback when all nodes are upgraded ( Upgrade is finalized/committed)",
,Completed,04/11/17 8:41 AM,web-form@smartsheet.com,Rich Piotrowski,Server are replace by Azure AD,04/13/17,4:00 pm,Decommission ADFS server Infrastructure in Azure.,None,Network Operations (Server / SAN),,Allow for new Azure servers,New Implementation,Tom McEnery,"1) Shut down 2 Proxy Servers
2) Test login from OWA
3) Shut down ADFS servers
4) Test login from OWA

BACK OUT PLAN: 
Restart servers and test",
,Completed,04/05/17 2:52 PM,web-form@smartsheet.com,LaShun Osborn,,04/13/17,"Time: 5pm, Duration: 1 hour.","In preparation for the DHCP upgrade, configure scopes on current SWRP DHCP server (TLS01) to allow DHCP server to update host (A) records in DNS for all DHCP scopes configured on the TLS01 server.

Also, DHCP scope options will be configured on the SWRP DHCP server to allow PXE boot for defined DHCP scopes for the SCCM project.",No predicted system downtime.,Network Operations (Server / SAN),,Deploy functionality of DHCP server updating DNS for DHCP clients. Allow PXE boot functionality for SCCM project.,Security,Rich Piotrowski,"1) Log into DHCP server.
2) Bring up DHCP console.
3.) For each DHCP scope, go to Properties, under 'DNS' select option to 'Always dynamically update DNS and PTR records.'
4.) For each DHCP scope, go to Scope, & configure the following DHCP options:
a. 066 Boot Server Host name
b. 067 Bootfile Name.

...

BACK OUT PLAN:
Set DHCP scopes to 'Dynamically update DNS A and PTR records only if requested by the DHCP clients.
Remove defined DHCP scope options 066 & 067.",
,Completed,03/30/17 9:14 AM,web-form@smartsheet.com,Semaj Wright,,04/13/17,anytime,Decommission of MFPDMGR.mwrd.local [10.33.102.66],No user's are impacted. New replacement server is in production [MFPDMGR3].  All Canon MFDs have been added to new server. Each device's Scan to email/file has been tested. New server has been stable for 30 days with no issues.,Network Operations (Server / SAN),,Decommission of old server which is no longer needed.,Enhancement,Semaj Wright,"1) Shutdown server
2) See Infrastructure section
3)
...

BACK OUT PLAN: 
....If any issues occur there is a secondary VM server MFDMGR2 that can be used as backup ShareScan server.",
,Completed,03/27/17 2:51 PM,web-form@smartsheet.com,ervin cheng,Need replacement of 3PAR drive to pass Health Check ; new drive must match current firmware or all drives must be upgradeded to current firmware,04/12/17,Thursday 4/12/2017 at 2 p.m. duration about 6 to 7 hours,3PAR service processor and OS upgrade from 3.2.1(MU3) to 3.2.2 (MU4),"OAKBROOK 3Par will be upgraded. All Citrix, File Servers, Print Servers, Video Conferencing,  Telephone servers, and district jobs.  This upgrade is non-intrusive and non-disruptive according to HP technician that will be working remotely.",Network Operations (Server / SAN),,"HPE 3PAR OS 3.2.2 MU4 provides support for drive firmware updates, new drives, resolve multiple issues, and new functionalities.",Enhancement,ervin cheng,"1 -Start of OS upgrade 
2 -SP Update with latest code (non-intrusive) 
3 -Pre-Upgrade Checks (non-intrusive) (non-intrusive) 
4 -Installation of Pre-req Patches 
5 -Running pre-req Scripts 
6 -Controller Node Upgrade (reboot) performed one at a time with host vali dation X (Node reboot time: P7000/8000 = 10 mins, P10000/20000 = 20 min) N - No. of Nodes, Z (5min default pause between nodes reboot. Max pause= 30min). 
Customer to validate host access and approve node reboots 
7 -Installation of Post Upgrade Patches 
8 -Running Post Upgrade scripts 
9 -Drive Cage firmware upgrade 
10 -Health Check and other post checks 
11 -Physical drives firmware upgrade (background task) 
12 -Final Host Verification by Customer 
13 -End of OS Upgrade 

BACK OUT PLAN: 
1 -Rollback when all nodes are NOT upgraded (one or more nodes pending for upgrade OR upgrade is not finalized/committed ) 
2 -Rollback when all nodes are upgraded ( Upgrade is finalized/committed)",
,Completed,04/05/17 2:45 PM,web-form@smartsheet.com,LaShun Osborn,,04/06/17,"Time: 5pm, duration: 1 hour.","In preparation for the DHCP upgrade, configure scopes on current MOB DHCP server (MOB_BLMGR) to allow DHCP server to update host (A) records in DNS for all DHCP scopes configured on the MOB_BLMGR server.

Also, DHCP scope options will be configured on the MOB DHCP server to allow PXE boot for defined DHCP scopes for the SCCM project.",No predicted system downtime.,Network Operations (Server / SAN),,Deploy functionality of DHCP server updating DNS for DHCP clients. Allow PXE boot functionality for SCCM project.,Security,Rich Piotrowski,"1) Log into DHCP server.
2) Bring up DHCP console.
3.) For each DHCP scope, go to Properties, under 'DNS' select option to 'Always dynamically update DNS and PTR records.'
4.) For each DHCP scope, go to Scope, & configure the following DHCP options:
     a. 066 Boot Server Host name
     b. 067 Bootfile Name.

...

BACK OUT PLAN:
Set DHCP scopes to 'Dynamically update DNS A and PTR records only if requested by the DHCP clients.",
,Completed,04/04/17 9:57 AM,web-form@smartsheet.com,Thomas McEnery,Working with MS FTC to accomplish the tasks involved,04/04/17,"After CoB, 4:30 to 6:30pm","Removing our ADFS services from the O365 / Azure configuration, Authentication will occur in AADP after changes are made.","Email Authentication may be effected during the cutover, MS stated outage should be no more than 20 - 30 min.",Multi-Team (Indicate groups in Additional Information),,"To upgrade our authentication methods to take advantage of our new EMS lisc and enabling SSO, Intune, etc.",Enhancement,Thomas McEnery,"1) Run the script to remove the ADFS server from the Auth path
2) Force a full replication of the AD to AADP
3) Test to make sure clients can still authenticate
4) Contact Control Room to see if they can still access OL
...

BACK OUT PLAN: Roll back changes
....",TRUE
,Completed,01/30/17 3:06 PM,web-form@smartsheet.com,Kevin Young,system down from 10:00pm - 2:00am,03/28/17,,Monthly SAP Production Server Reboots,"SAP, PBF and the District Website will be unavailable during this rebooting exercise.",ERP / SAP,,"Purpose / Desired Result	Compliance with recommended Windows Server reboots",Preventive,Kevin Young,"Server shutdown order
a. MWRDECCP0
b. MWRDECCP1
c. MWRDNBWP0
d. MWRDNDIP1
e. MWRDBOBP1
f. MWRDPBFP1
g. MWRDCEPP1
h. MWRDPRDDB
Server restart order
i. MWRDPRDDB
j. MWRDECCP0
k. MWRDECCP1
l. MWRDNBWP0
m. MWRDNDIP1
n. MWRDBOBP1
o. MWRDPBFP1
p. MWRDCEPP1
Server shutdown order
q. MWRDNEPP1
r. MWRDNEPP2
s. MWRDNEPP0
Server restart order
t. MWRDNEPP0
u. MWRDNEPP1
v. MWRDNEPP2",
,Completed,03/21/17 4:21 PM,web-form@smartsheet.com,Ethan Warren,,03/24/17,6:00 pm - 10:00 pm,Upgrade to MOB core switch from 6500 platform to 6800 platform,"The main website/portal (mwrd.org), gispub.mwrd.org, districtjobs.org, ftp.mwrd.org, forms.mwrd.org, and guest WiFi connectivity.  General network access (login) and Internet browsing will also be interrupted at the MOB Complex.",Network Infrastructure,,"Replacing aged dual chassis format with higher bandwidth, single format chassis.",New Implementation,Ethan Warren,"1) Remove WAN connection from 6500 chassis onto the new 6800 chassis. Verify WAN communications from 6800 chassis.

2) Remove existing fiber LAN connections from patch panel and connect new pre-connected fiber to corresponding ports on patch panel.

3) Verify connectivity and communications for each LAN segment.
...

BACK OUT PLAN: Move all connections back to originating 6500 and workgroup switches.
....",
,Completed,03/13/17 9:49 AM,web-form@smartsheet.com,Thomas McEnery,"This will be performed by T.McEnery and K.Young, the process should take no longer than a minute or 2 for each Dept group moved. It was tested again last week and went smoothly.",03/23/17,"Will be performed during the workday to assure no outage, remediate any issues immediately","Work with Kevin Young to move the rest of the Dept SecGrps to the new OU structure as part of the AD cleanup. The remaining groups will be migrated and remediated and they are;

Engineering Users
R&D Users
Purchasing Users
Gen_Admin Users
Treasury
Law
M&O Users","Migrating the Dept SecGrp may result in a momentary loss of access to the Home Tab on the SAP portal. We have already tested this twice and it takes around 5 min for the change to become user facing, however the remediation is performed in under 2 min and doesn't get a change to be noticed.",Multi-Team (Indicate groups in Additional Information),,This is part of the AD cleanup / reorganization project.,Enhancement,Thomas McEnery,"1) Migrate SecGrp to new OU
2) Refresh SAP pointer to the associated SecGrp
3) Test to see if access is lost / restored
...

BACK OUT PLAN: 
....",
,Completed,03/21/17 12:19 PM,web-form@smartsheet.com,ervin cheng,,03/21/17,3 p.m. to 5 p.m. around 2 hour,Move F5 appliance from 4th floor to 1st floor MOB,"All Portal MWRD traffic will be affected if system is not move according to plan. If planned is executed without any complication, then no one will be affected.",Network Operations (Server / SAN),,MOB 4th floor decommission. The F5 is utilizing 4 Racks that must be decommission.,Preventive,ervin cheng,"1.	Make sure config is the same and saved in local drive at 3 p.m.
2.	Shutdown passive F5 appliance.
3.	Make sure no connection has drop and website is still up.
4.	Unmount F5 appliance and unplug all connections.
5.	Move to 1st floor telephone room
6.	Mount F5 appliance and plug all connections back.
7.	Make sure heartbeat is up. Email everyone part 1 is done.
8.	At 4:30. Make the passive node the active node.
9.	Make sure no connection has drop and website is still up.
10.	Unmount F5 appliance and unplug all connections.
11.	Move to 1st floor telephone room
12.	Mount F5 appliance and plug all connections back.
13.	Make sure heartbeat is up. Email everyone that the F5 appliance is moved.

BACK OUT PLAN: 
put back the F5 where it originally was and plug back all connections in it's original location",
,Completed,03/07/17 4:27 PM,web-form@smartsheet.com,Thomas McEnery,,03/21/17,"During the Day, duration should be less than 30 - 60 min",Enable Azure SSO for SAManage before the debut / pilot of the application,System is not in production yet,Multi-Team (Indicate groups in Additional Information),,To Enable SSO for the new service desk app SAManage,Enhancement,Thomas McEnery,"1) https://docs.microsoft.com/en-us/azure/active-directory/active-directory-saas-samanage-tutorial
2)
3)
...

BACK OUT PLAN: 
....",TRUE
,Completed,02/17/17 3:08 PM,web-form@smartsheet.com,Thomas McEnery,https://docs.microsoft.com/en-us/azure/active-directory/active-directory-federation-sha256-guidance,03/20/17,"Anytime, modifying the token length is a drop down that will take <1 min to change.  8:00p.m.",Upgrade our O365 AFDS token signing algorithm to SHA-256.,"Per MS, ""After you have set the signature algorithm with one of the two processes below, AD FS signs the tokens for Office 365 relying party trust with SHA256. You don't need to make any extra configuration changes, and this change has no impact on your ability to access Office 365 or other Azure AD applications.""",Network Operations (Server / SAN),,"Per MS, ""You are receiving this message because our reporting indicates your organization may be using the less secure SHA-1 token signing algorithm. By utilizing the SHA-256 algorithm, your organization will be able to take advantage of a more secure Azure AD authentication.""",Enhancement,Thomas McEnery,"1) Log into Primary ADFS server and open ADFS management console
2) Expand to Relying Party Trusts, MS O365 ID Platform, Properties
3) Advanced Tab, change algorithm
...

BACK OUT PLAN: Roll back, changes.
....",
,Completed,03/10/17 11:25 AM,web-form@smartsheet.com,LaShun Osborn,,03/16/17,"Time: 4pm, duration: 30 minutes.","In preparation for the DHCP upgrade, configure scopes on current DHCP servers (TLS01 and MOB_BLMGR) to allow DHCP servers to update host (A) records in DNS for all DHCP scopes.",No predicted system downtime.,Network Operations (Server / SAN),,Deploy functionality of DHCP servers updating DNS for DHCP clients.,Security,Ervin Cheng,"1) Log into DHCP server.
2) Bring up DHCP console.
3.) For each DHCP scope, go to Properties, under 'DNS' select option to 'Always dynamically update DNS and PTR records.'
4.) Repeat steps 1-3 on the second DHCP server.

...

BACK OUT PLAN:
Set  DHCP scopes to 'Dynamically update DNS A and PTR records only if requested by the DHCP clients.",
,Completed,02/28/17 10:56 AM,web-form@smartsheet.com,Thomas Muscarello,,03/10/17,5:00 p.m.,"Replacing work group switch located in the main telephone room on the 1st floor of the MOB building from a 3560 to a 2960x.  Network up links connecting to the Board Room switch, Board Room Video Switch & Waterways switch will be reconfigured as well.","The following users will be impacted; Board room, Board room video equipment, Public Affairs, MOB Police Desk, Waterways (business network only).  Police and Waterways will be the only areas staffed at the time.  We will coordinate with both locations before and after maintenance.  The process control network will not be impacted during this maintenance window.",Network Infrastructure,,The new switch will provide additional port capacity and allow for a temporary reconfiguration of up link connections to water ways & board rooms.  The uplink reconfiguration will reduce the home run connections back the to 6500 and assist with the 6800 implementation.,New Implementation,Thomas Muscarello,"1) Notify Police & Waters and confirm maintenance window start time. 
2) Move all copper connections from old 3560 to new 2960x.
3) Confirm police are operational. 
4) Move waterways fiber from 6500 to new 2960x
5) Confirm water ways is operational.
6) Move board room fiber (x2) from 6500 to 2960x
7) Confirm board room is operational.
...

BACK OUT PLAN: 

Move all connections back to original up link locations.
....",
,Completed,03/03/17 3:42 PM,web-form@smartsheet.com,LaShun Osborn,,03/09/17,"Time: 4pm, duration: 30 minutes.","In preparation for DHCP upgrade, in line with best practice, set each DHCP server (TLS01 and MOB_BLMGR) to use a domain service account (MWRD\DNSUpdate) to update DNS records for clients using DHCP. Set the option on the 10.12.xx.xx scopes (4th floor MOB) to allow DHCP servers to update host (A) records .",DNS updates for DHCP clients on 4th floor MOB (10.12.150.xx and 10.12.200.xx scopes.),Network Operations (Server / SAN),,Align current DHCP configuration with recommended/best practice. Test functionality of DHCP updating DNS on subset of DHCP clients (4th floor MOB)with minimal impact.,Security,Ervin Cheng,"1) Log into DHCP server.
2) Bring up DHCP console.
3) At the IPv4 level Properties, under 'Advanced', select Credentials and enter the username/password for service account. 
4.) At the 10.12.xx.xx scope level Properties, under 'DNS' select option to 'Always dynamically update DNS and PTR records.'
5.) Repeat steps 1-4 on the second DHCP server.

...

BACK OUT PLAN: 
1.) Set 10.12.xx.xx scope to 'Dynamically update DNS A and PTR records only if requested by the DHCP clients.
2.) Remove service account credentials. DHCP will revert to using $DHCPSERVERNAME, which it currently uses. ....",
,Completed,02/14/17 11:49 AM,web-form@smartsheet.com,Thomas McEnery,"This will be performed by T.McEnery and K.Young, the process should take no longer than a minute or 2 for each Dept group moved. It was tested a few months ago and went smoothly.",03/09/17,Can be performed at any time and only takes a minute to implement. 8:30p.m.,Migrating the Department AD groups that control access to the Employee portal,Users may experience a short loss of access to their Portal Tabs.,Multi-Team (Indicate groups in Additional Information),,This is part of the AD cleanup project of consolidating SecGrps into a new AD structure.,Enhancement,Thomas McEnery / Kevin Young,"1) Move the AD Dept Security group from the default OU to the new OU
2) SAP reassigns the Dept Security grp their previous rights
3)
...

BACK OUT PLAN: If there are any issues with the migration the groups can be moved back to their original OU.
....",
,Completed,02/28/17 10:48 AM,web-form@smartsheet.com,Ram Vaitla,,03/03/17,2:00pm & will be up on/before 4:00pm (2 hours),"The District's Network FAX Server will be shutdown on Friday, March 3, 2017 between 2:00pm and 4:00pm to migrate the Server from 4th floor to 1st floor at MOB.",MWRD Network fax services receive and send will be unavailable; The Quote Requests from SAP will hold the queue and will be released after 4:00pm.,Network Infrastructure,,Migrate all equipment from 4th floor computer room and decommission Computer room at MOB.,Preventive,Ram Vaitla @ 312-751-4444,"1) Stop fax services and send_fax job in SAP_PRD system
2) Uninstall the Kofax Server and Communication (Line) Server from the 4th floor computer room.
3) Install the Kofax Server and Communication (Line) Server in 1st floor at MOB.
4) Start the Kofax Windows Server and fax services and validate the send/receive fax queue.
5) Release send_fax queue of the SAP_PRD system and validate the fax transmissions.
6) Notify Purchasing Users to check the status of RFQs and send few faxes to validate.
...

BACK OUT PLAN: 
Move the Kofax server and Communication (Line) Server from 1st floor to 4th floor and reconnect all necessary cables.
Start the Windows Server, fax services, SAP send_FAX queue and validate the fax transmissions.

....",
,Completed,02/14/17 1:10 PM,web-form@smartsheet.com,Ram Vaitla,Notification sent to KOFAX_Users group on 2/28/17,03/03/17,2:00pm & will be up on/before 4:00pm (2 hours),"The District's Network FAX Server will be shutdown on Friday, Feb 17, 2017 between 2:00pm and 4:00pm to migrate the Server from 4th floor to 1st floor at MOB.",MWRD Network fax services receive and send will be unavailable; The Quote Requests from SAP will hold the queue and will be released after 4:00pm.,Network Infrastructure,,Migrate all equipment from 4th floor computer room and decommission Computer room at MOB.,Preventive,Ram Vaitla @ 312-751-4444,"1) Stop fax services and send_fax job in SAP_PRD system
2)  Uninstall the Kofax Server and Communication (Line) Server from the 4th floor computer room.
3) Install the Kofax Server and Communication (Line) Server in 1st floor at MOB.
4) Start the Kofax Windows Server and fax services and validate the send/receive fax queue.
5) Release send_fax queue of the SAP_PRD system and validate the fax transmissions.
6) Notify Purchasing Users to check the status of RFQs and send few faxes to validate.
...

BACK OUT PLAN: 
Move the Kofax server and Communication (Line) Server from 1st floor to 4th floor and reconnect all necessary cables.
Start the Windows Server, fax services, SAP send_FAX queue and validate the fax transmissions.
....",
,Completed,03/01/17 2:44 PM,web-form@smartsheet.com,Robert Beckman,,03/01/17,5 p.m to 5:30 p.m.,"Move physical eccdsmp, readsoft invoicing, server.  from MOB 4th floor computer room to 2nd floor telephone room.",readsoft invoicing server. Accounts Payable Section will be affected. Users have been notify of the outage,Network Operations (Server / SAN),,4th floor decommission need this server to be relocated so they computer room can be cleaned out.,Preventive,Ervin Cheng,"1) shutdown eccdmsp
2) remove all cable and network connections. carry across street to annex building
3) attach all cables, network connections, and rack mount to server.
4) Power on server and test all connections and application

BACK OUT PLAN: 
1) shutdown eccdmsp
2) remove all cable and network connections. carry across street to MOB building
3) attach all cables, network connections, and rack mount to server.
4) Power up server and test application",
,Completed,01/30/17 3:04 PM,web-form@smartsheet.com,Kevin Young,"system down from 10:00pm - 2:00am.

Rescheduled to 2/27. Expired password, could not login.",02/27/17,,Monthly SAP Production Server Reboots,"SAP, PBF and the District Website will be unavailable during this rebooting exercise.",ERP / SAP,,Compliance with recommended Windows Server reboots,Preventive,Kevin Young,"Server shutdown order
a.	MWRDECCP0
b.	MWRDECCP1
c.	MWRDNBWP0
d.	MWRDNDIP1
e.	MWRDBOBP1
f.	MWRDPBFP1
g.	MWRDCEPP1
h.	MWRDPRDDB
Server restart order
i.	MWRDPRDDB
j.	MWRDECCP0
k.	MWRDECCP1
l.	MWRDNBWP0
m.	MWRDNDIP1
n.	MWRDBOBP1
o.	MWRDPBFP1
p.	MWRDCEPP1
Server shutdown order
q.	MWRDNEPP1
r.	MWRDNEPP2
s.	MWRDNEPP0
Server restart order
t.	MWRDNEPP0
u.	MWRDNEPP1
v.	MWRDNEPP2",
,Completed,02/24/17 3:19 PM,web-form@smartsheet.com,RObert Beckman,,02/24/17,5:00pm - duration < 1min interruption,Apply updated ssl cert for www.mwrd.org to the F5 applicance.,"HTTPS traffic to district website, www.mwrd.org, will begin using new ssl cert.",Web / Portal Team,,Provide secure HTTPS communication to the website,Security,Robert Beckman,"1) renew GoDaddy SSL cert 
2) load cert into F5 standby server
3) make standby server active
4) load cert into second F5 server
5) make second F5 server the active node
...

BACK OUT PLAN: 
    Not applicable. Must apply new ssl cert before 2/25/2017.",
,Completed,02/14/17 3:05 PM,web-form@smartsheet.com,Ethan Warren,,02/23/17,4:30 pm.  Duration approximately 30 minutes,Reboot of MOB firewall.,Access to the internet and email through MOB will be down.  Websites will not be accessible to the public.,Network Infrastructure,,To clear out any stale routes or cached information which may cause undesirable traffic flows.,Preventive,Ethan Warren,"1) Backup firewall configuration.
2) Disconnect failover links to prevent standby firewall becoming active.
3) Reboot each firewall independently to ensure clearing of cached information.
...

BACK OUT PLAN: 
....
1) Independent booting will allow one firewall to remain running in the event the other does not restart and will become the active firewall until replacement for the defective firewall can be acquired and installed.",
,Completed,02/14/17 11:04 AM,web-form@smartsheet.com,Roger Smith,,02/23/17,3:00 PM - 6:00 PM,Move IPACS database to new server,IPACS will be unavailable at this time,Multi-Team (Indicate groups in Additional Information),,"move iPacs off of container DB setup, onto new server. This is for licencsing purposes.",Preventive,Roger Smith,"1) shut down ipacs DB
2) copy DB to new server
3) change web.config files to point to new location
4) open new DB
5) test application
BACK OUT PLAN: 
turn off new DB, change web.config files, open old DB",
,Completed,02/21/17 11:41 AM,kellys2@mwrd.org,Bob Beckman / Kevin Young / Thom. Mc.,,02/22/17,8:00p.m.,Add/generate new CERT for www.mwrd.org,,,,,,,,
,Completed,02/16/17 7:31 AM,web-form@smartsheet.com,Semaj Wright,,02/21/17,5:00pm,Troubleshoot and apply patches which require a reboot of server.,ShareScan scanning feature on all Canon MFD,Multi-Team (Indicate groups in Additional Information),,Resolve slow response when scanning,Fix / Patch,Semaj Wright,"1) Reboot server
2) Apply application patch 
3) Reboot server
...

BACK OUT PLAN: 
.... Uninstall patch
     Reboot server",
,Completed,01/30/17 4:12 PM,web-form@smartsheet.com,Kevin Young,system down from 10:00pm - 2:00am,02/11/17,,Monthly SAP Production Server Reboots (~15 Servers),"SAP, PBF and the District Website will be unavailable during this rebooting exercise.",ERP / SAP,,Rebooting catch-up to remain compliant with recommended Windows Server reboots.,Preventive,Kevin Young,"Server shutdown order
a. MWRDECCP0
b. MWRDECCP1
c. MWRDNBWP0
d. MWRDNDIP1
e. MWRDBOBP1
f. MWRDPBFP1
g. MWRDCEPP1
h. MWRDPRDDB
Server restart order
i. MWRDPRDDB
j. MWRDECCP0
k. MWRDECCP1
l. MWRDNBWP0
m. MWRDNDIP1
n. MWRDBOBP1
o. MWRDPBFP1
p. MWRDCEPP1
Server shutdown order
q. MWRDNEPP1
r. MWRDNEPP2
s. MWRDNEPP0
Server restart order
t. MWRDNEPP0
u. MWRDNEPP1
v. MWRDNEPP2",
,Completed,02/06/17 4:12 PM,web-form@smartsheet.com,Roger Smith,Snapshot will be 3:00p.m.  MOVED TO Thurs 2/23,02/09/17,,Move Oracle databases from IPACS12c to ORADBPRD1A,"LIMS and iPacs will be down for about 2-3 hours, starting at 3:00 PM",Network Operations (Server / SAN),,Move the databases off of the container databases and on to a conventional DB setup. This is for licensing purposes.,Preventive,Roger Smith,"1) snapshot server ORADBPRD1A
2) Shut down DB's on IPACS12C
3) Move LIMS and IPACS DB's to ORADBPRD1A
4) Configure APP servers to poin to new Databases
5) Bring up databases on server ORADBPRD1A
6) restart services on APP servers
7) test connections
8) allow users to log in

BACK OUT PLAN: 
- Shut down DB's on ORADBPRD1A
- Start DB's on IPACS12C
- Point APP servers to IPACS12C",
,Completed,01/31/17 2:03 PM,web-form@smartsheet.com,Raymond McCague,Snapshot will be 3:00p.m.,02/08/17,,A snapshot needs to created of the server VMPERFDB. An update to the CDATA has to be applied to the server to fix a bug in the software.  CDATA helps get data from SAP for the Dashboard.,The Dashboard will be down. The url is: http://vmperfap/Dashboard/portalHome.jsp,,,The snapshot will provide a backup on the slim chance that applying CDATA update causes a problem,Fix / Patch,Raymond McCague,"1) The default instance database on the Server:VMPERFDB will be shutdown.
2) The server:VMPERFB will be shutdown.
3) A snapshot of the server will be created.
4) The server will be started.  The database will automatically be started.
5) The CDATA update will be applied.
...

BACK OUT PLAN: 
1) The default instance database on the Server:VMPERFDB will be shutdown on the server. 
2) The server: VMPERFDB will be shutdown.
3) The snapshot created will be used in place of the current VM.
4) The server will be started.  The database will automatically be started.",
,Completed,02/02/17 5:22 PM,web-form@smartsheet.com,Robert Beckman,,02/03/17,,Restart of SAP system to accommodate new audit file format that will allow for UNIX server audit file to be read along with the current Windows audit files. This will be done after 10 pm. This was originally scheduled for 02/02/2017 but the backup of a file folder to supply the necessary storage space has not completed.,SAP will be unavailable from 10 - 10:30,ERP / SAP,,This will allow for UNIX server audit file to be read along with the current Windows audit files.,Enhancement,Kevin Young,Change the system parameter FN_AUDIT in MWRDECCP1 to read P#++++++++.AUD,TRUE
,Completed,01/31/17 5:02 PM,web-form@smartsheet.com,Robert Beckman,,02/02/17,,Restart of SAP system to accommodate new audit file format that will allow for UNIX server audit file to be read along with the current Windows audit files. This will be done after 10 pm.,SAP will be unavailable from 10 - 10:15,ERP / SAP,,This will allow for UNIX server audit file to be read along with the current Windows audit files.,Enhancement,Kevin Young,Change the system parameter FN_AUDIT in MWRDECCP1 to read P#++++++++.AUD,TRUE
,Completed,01/30/17 4:03 PM,web-form@smartsheet.com,Kevin Pendergast,4:30p.m.,02/02/17,,All WIFI will be down for reboot of controller and AP's.,All WIFI users,Network Infrastructure,,New Code Update and new Guest WIFI router,,Kevin Pendergast,"1) 
2)
3)
...

BACK OUT PLAN: 
....",
,Completed,01/23/17 1:55 PM,web-form@smartsheet.com,Ethan Warren,3:30p (SWRP) ; 4:30p (MOB/C),02/02/17,,Update the OS on FireEye appliances at MOB and Stickney,None.,Network Infrastructure,,Update the OS to the latest code and security patches.,Fix / Patch,Ethan Warren,"1) Download new OS from FireEye
2) Install new OS version
3) Reboot to apply OS and patches
...

BACK OUT PLAN: In the event of a failure, the appliances will go into a ""fail open"" state allowing traffic to pass through until a replacement can be obtained.
....",
,Completed,02/01/17 5:25 PM,web-form@smartsheet.com,Mike Burke,,02/01/17,,copy updated DLL to IPACPRDAPP: SummaryDataService.Core.dll,IPACS,Multi-Team (Indicate groups in Additional Information),,This is a correction to a calculation for mg/day,Fix / Patch,Roger Smith,"1) back up file SummaryDataService.Core.dll
2) copy new file
3) restart ipacs application pool
...

BACK OUT PLAN: 
restore old file, restart ipacs application pool",
